Que argumentos uma nova marca de projéteis precisa apresentar para ganhar sua confiança?;
;
Argumento;
  Acabamento/Preservação Da Arma;6
  Algum diferencial em relação à marca utilizada;0,5
  Baixa emissão de gases e resíduos;0,25
  Confiança/Segurança;13,25
  Confiança/Segurança no disparo;31,25
  Controle obrigatório do SisGcorp;0,25
  Design homogêneo;0,25
  Disponibilidade/Facilidade de aquisição;4,25
  Disponibilidade/Logística;5
  Durabilidade/Preservação Da Arma;3,75
  Informação e especificação técnica;0,5
  Informação técnica detalhada do produto;0,5
  Marketing e divulgação do produto;0,5
  Mostrar diferenciais em relação às marcas existentes no mercado;1
  Não deixar tinta no cano;0,5
  Não falhar no disparo;0,25
  Não Sabe/Sem Resposta;5,5
  Padrão de calibração;0,5
  Padronização de peso/medida/qualidade;11,25
  Padronização/;0,5
  Pesagem padrão / Pouca variação / Padronização;0,5
  Pintura;0,25
  Pontos fortes do produto;1
  Precisão da calibragem;1
  Precisão/Desempenho no disparo;23,5
  Preço diferenciado para a loja ter margem / Consumidor compra com mesmo preço e sem quantidade mínima;1,25
  Preço/Custo-Benefício;35,75
  Projétil ser duro / Dureza do chumbo;0,25
  Recomendação / Indicação técnica de pessoas relevantes do setor;2,5
  Relaxamento na liga do projétil;0,25
  Ter máquina de recarga;0,25
  Testes de provas / comparativo;11,25
  Testes/Laudos/Amostras;9
